name,body_part,equipment,gif_url,target,secondary_muscles,instructions,exercise_id
3/4 sit-up,waist,body weight,https://v2.exercisedb.io/image/MTX4DIOEUXALPg,abs,"{""hip flexors"",""lower back""}","{""Lie flat on your back with your knees bent and feet flat on the ground."",""Place your hands behind your head with your elbows pointing outwards."",""Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle."",""Pause for a moment at the top, then slowly lower your upper body back down to the starting position."",""Repeat for the desired number of repetitions.""}",1
45° side bend,waist,body weight,https://v2.exercisedb.io/image/abQYrvOGL38dSR,abs,{obliques},"{""Stand with your feet shoulder-width apart and your arms extended straight down by your sides."",""Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee."",""Pause for a moment at the bottom, then slowly return to the starting position."",""Repeat on the other side."",""Continue alternating sides for the desired number of repetitions.""}",2
air bike,waist,body weight,https://v2.exercisedb.io/image/HLJGly65Iljjyn,abs,"{""hip flexors""}","{""Lie flat on your back with your hands placed behind your head."",""Lift your legs off the ground and bend your knees at a 90-degree angle."",""Bring your right elbow towards your left knee while simultaneously straightening your right leg."",""Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg."",""Continue alternating sides in a pedaling motion for the desired number of repetitions.""}",3
all fours squad stretch,upper legs,body weight,https://v2.exercisedb.io/image/OXRk59eCaDysAb,quads,"{hamstrings,glutes}","{""Start on all fours with your hands directly under your shoulders and your knees directly under your hips."",""Extend one leg straight back, keeping your knee bent and your foot flexed."",""Slowly lower your hips towards the ground, feeling a stretch in your quads."",""Hold this position for 20-30 seconds."",""Switch legs and repeat the stretch on the other side.""}",1512
alternate heel touchers,waist,body weight,https://v2.exercisedb.io/image/4o9B07lz-2rsS-,abs,{obliques},"{""Lie flat on your back with your knees bent and feet flat on the ground."",""Extend your arms straight out to the sides, parallel to the ground."",""Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel."",""Return to the starting position and repeat on the left side, reaching your left hand towards your left heel."",""Continue alternating sides for the desired number of repetitions.""}",6
alternate lateral pulldown,back,cable,https://v2.exercisedb.io/image/6uLZ9RvXBbEQCf,lats,"{biceps,rhomboids}","{""Sit on the cable machine with your back straight and feet flat on the ground."",""Grasp the handles with an overhand grip, slightly wider than shoulder-width apart."",""Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together."",""Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position."",""Repeat for the desired number of repetitions.""}",7
ankle circles,lower legs,body weight,https://v2.exercisedb.io/image/DdRVsAS7IfuJRm,calves,"{""ankle stabilizers""}","{""Sit on the ground with your legs extended in front of you."",""Lift one leg off the ground and rotate your ankle in a circular motion."",""Perform the desired number of circles in one direction, then switch to the other direction."",""Repeat with the other leg.""}",1368
archer pull up,back,body weight,https://v2.exercisedb.io/image/ci8H5W1VBIBaTP,lats,"{biceps,forearms}","{""Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart."",""Engage your core and pull your shoulder blades down and back."",""As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight."",""Continue pulling until your chin is above the bar and your bent arm is fully flexed."",""Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side."",""Alternate sides with each repetition.""}",3293
archer push up,chest,body weight,https://v2.exercisedb.io/image/qVwsttXaepqZos,pectorals,"{triceps,shoulders,core}","{""Start in a push-up position with your hands slightly wider than shoulder-width apart."",""Extend one arm straight out to the side, parallel to the ground."",""Lower your body by bending your elbows, keeping your back straight and core engaged."",""Push back up to the starting position."",""Repeat on the other side, extending the opposite arm out to the side."",""Continue alternating sides for the desired number of repetitions.""}",3294
arm slingers hanging bent knee legs,waist,body weight,https://v2.exercisedb.io/image/4Izai8mgZj9dwG,abs,"{shoulders,back}","{""Hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle."",""Engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible."",""Slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""}",2355
